0	14706	1
0	329	1
0	2863	1
0	2886	1
0	2319	1
0	347	2
0	25052	1
0	2094	1
0	583	1
0	7849	1
0	7839	1
1	15414	2
1	1760	3
1	2454	1
1	1986	1
1	2757	1
1	2758	1
1	450	1
1	1620	1
1	310	1
1	1937	1
1	1621	1
1	8335	1
1	451	1
1	452	1
1	7914	1
1	26772	2
1	26768	1
1	15123	1
1	15753	1
1	15419	1
1	19684	1
1	14191	1
1	12161	1
1	14227	1
1	18968	1
1	76	1
1	1939	3
2	33	2
2	66	1
2	1989	1
2	5870	2
2	12435	2
2	27	1
3	13250	1
3	1176	1
3	2592	1
4	4727	1
4	4728	1
4	21552	1
4	14774	1
5	9138	1
6	3325	1
6	377	1
6	22444	1
7	375	1
7	371	1
8	1067	1
8	1068	1
8	1069	1
8	1070	1
8	1071	1
8	1072	1
8	1379	1
9	6	1
9	1089	1
9	10165	1
9	3737	1
9	7232	1
9	2331	1
9	1208	1
10	2815	1
10	18069	1
11	0	1
11	25283	1
11	15836	1
11	2051	2
11	1169	1
11	2	1
11	1909	1
11	5292	1
11	3411	1
11	1582	1
11	1583	1
11	47	1
11	2052	1
12	21024	1
13	7832	1
13	479	1
13	7831	1
13	26657	1
13	1356	1
13	473	1
13	13186	2
13	26074	1
13	24671	1
13	3709	1
13	15532	1
13	3710	1
13	3711	1
13	20489	1
13	24908	1
13	3712	1
13	19650	1
13	12317	1
13	3678	2
13	19512	2
13	29371	1
13	25070	1
13	15776	1
13	8858	1
13	20725	1
13	3714	1
13	23433	1
13	19581	1
13	23169	1
13	1184	2
13	12751	1
13	1927	1
13	1995	2
13	3715	2
13	23799	1
13	3697	2
13	3716	1
13	3717	1
13	19513	1
13	3718	1
13	3719	1
13	3720	1
13	13383	1
13	8246	1
13	18789	1
13	3721	1
13	3722	1
13	3723	1
13	3700	3
13	25690	1
13	25516	1
13	1357	1
13	11488	1
13	11489	1
13	3724	2
13	15574	1
13	11490	1
13	14552	1
13	18113	1
13	15575	1
13	18114	1
13	18105	1
13	11486	2
14	4350	1
14	9994	1
14	14850	2
14	225	3
15	2388	1
15	516	1
16	328	4
16	1403	1
16	2292	1
16	1922	1
16	11421	1
16	1175	1
17	2094	1
17	12443	1
17	6693	1
18	8227	1
18	1099	1
18	640	2
18	26	4
18	5217	2
19	8227	1
19	1077	1
20	1836	3
20	9528	2
20	6996	2
20	558	1
20	911	2
20	1529	2
20	1389	1
20	17	1
20	7673	1
20	5074	1
20	2861	1
20	1530	1
20	26	1
20	2063	3
21	26076	1
21	16770	1
21	6788	1
22	23433	1
22	448	1
22	2098	1
22	798	1
22	572	2
22	1043	1
22	23704	1
22	15814	1
22	7718	1
22	30014	1
22	22934	1
22	22730	1
22	21090	1
22	8853	1
22	11497	1
22	3729	1
22	10922	1
22	3730	1
22	13423	1
22	3722	1
22	599	1
22	11489	1
22	7936	7
22	21593	3
22	15554	1
23	1995	1
23	348	1
23	856	1
23	5165	2
24	6455	1
24	8571	1
24	8572	1
24	5011	1
24	5281	1
24	5209	1
24	2861	1
24	320	2
24	8611	1
24	1586	1
24	17826	1
24	12239	1
24	10414	1
24	2860	1
24	11324	1
24	584	1
24	7213	1
24	595	2
24	26554	1
24	9513	1
24	25176	1
25	1389	1
25	504	1
25	56	1
25	26	2
26	13386	1
26	1844	1
26	5070	1
27	4248	1
28	172	1
28	195	2
28	11418	1
28	10209	1
28	15964	1
28	4294	1
28	2337	1
28	29	1
28	182	1
28	385	2
28	488	1
28	1379	1
28	1402	1
28	2861	2
28	392	1
28	395	1
28	281	1
29	15969	2
29	4314	1
29	172	1
29	3287	6
29	307	1
29	32	1
29	7599	1
29	7526	1
29	4305	1
29	20627	1
29	4140	1
29	4306	1
29	2386	1
29	14210	1
29	4349	1
29	1188	2
29	2405	1
29	5401	2
29	17562	2
29	14974	1
29	17368	1
29	4787	1
29	11770	1
29	11771	1
29	6812	1
29	2446	1
29	1987	1
29	27078	1
29	12328	1
29	1002	1
29	1003	1
29	6234	1
29	9472	1
29	4309	1
29	467	1
29	15135	1
29	18584	1
29	2813	1
30	23317	1
30	8615	2
30	9528	1
30	1530	1
30	1036	1
30	23315	1
30	1136	1
30	2592	1
30	321	1
30	5620	2
30	5323	2
30	55	1
30	56	1
30	3737	1
30	1562	1
30	2062	2
30	8958	1
30	16364	1
30	2332	1
30	8230	1
30	2667	1
30	7209	1
30	24945	1
30	4735	1
30	4732	1
30	4734	1
30	2063	3
30	8007	1
31	1590	1
31	18	1
32	4004	1
32	15384	1
32	8161	1
33	6644	1
33	8034	1
33	6773	1
33	2450	1
33	549	1
33	7607	1
33	974	1
33	504	1
33	1590	1
34	430	2
34	11763	2
34	570	2
34	2756	1
34	2383	3
34	19683	1
35	11951	1
36	329	1
36	2863	1
36	900	3
36	1046	1
36	918	1
36	9755	1
36	8559	1
37	4930	1
37	7529	1
37	8033	1
37	7530	1
38	4793	1
38	2235	2
38	3989	1
38	1424	2
38	1098	1
38	15594	1
38	20231	1
38	15595	1
38	11277	1
38	13809	1
38	16373	1
38	11160	1
38	16499	1
38	7667	1
38	28499	1
38	15610	3
39	14856	1
39	22951	1
39	17871	1
39	6461	1
39	12592	1
39	2455	2
39	1501	1
